"year","driver","constructor","races","wins","podiums","points","avg_grid","avg_finish","dnfs","finish_rate","avg_performance_index"
2015,"Merhi","Manor Marussia",13,0,0,0,18.2307692307692,16.2307692307692,1,0.923076923076923,1.775
2015,"Nasr","Sauber",19,0,0,27,13.8947368421053,13.0526315789474,3,0.842105263157895,3.73125
2015,"Pérez","Force India",19,0,1,78,10.2631578947368,9.42105263157895,1,0.947368421052632,5.32222222222222
2015,"Räikkönen","Ferrari",19,0,3,150,7.47368421052632,10.1052631578947,5,0.736842105263158,9.31428571428571
2015,"Ricciardo","Red Bull",19,0,2,92,8.10526315789474,10.0526315789474,3,0.842105263157895,6.03529411764706
2015,"Rosberg","Mercedes",19,6,15,322,2.05263157894737,4.21052631578947,1,0.947368421052632,13.0388888888889
2015,"Rossi","Manor Marussia",5,0,0,0,17.8,15.4,0,1,1.76
2015,"Sainz","Toro Rosso",19,0,0,18,11.9444444444444,15.6315789473684,7,0.631578947368421,3.75454545454545
2015,"Stevens","Manor Marussia",18,0,0,0,17.7647058823529,17.5555555555556,3,0.833333333333333,1.52666666666667
2015,"Verstappen","Toro Rosso",19,0,0,49,11.3684210526316,13,5,0.736842105263158,4.73333333333333
2015,"Vettel","Ferrari",19,3,13,278,5.31578947368421,4.47368421052632,2,0.894736842105263,12.1555555555556
2016,"Alonso","McLaren",20,0,0,54,12.15,12.4,4,0.8,4.29375
2016,"Bottas","Williams",21,0,1,85,8.28571428571429,10.0952380952381,2,0.904761904761905,5.28421052631579
2016,"Button","McLaren",21,0,0,21,13,15.1428571428571,6,0.714285714285714,3.51333333333333
2016,"Ericsson","Sauber",21,0,0,0,18.6190476190476,17.3333333333333,5,0.761904761904762,2.15
2016,"Grosjean","Haas F1 Team",21,0,0,29,14.047619047619,14.9047619047619,5,0.761904761904762,3.725
2016,"Gutiérrez","Haas F1 Team",21,0,0,0,13.952380952381,16.4285714285714,5,0.761904761904762,2.08125
2016,"Hamilton","Mercedes",21,10,17,380,4.14285714285714,4.28571428571429,2,0.904761904761905,14.6157894736842
2016,"Haryanto","Manor Marussia",12,0,0,0,19.8333333333333,19.9166666666667,3,0.75,1.17777777777778
2016,"Hülkenberg","Force India",21,0,0,72,8.38095238095238,12.0952380952381,5,0.761904761904762,5.02941176470588
2016,"Kvyat","Red Bull",4,0,1,21,11.75,12.5,1,0.75,6.76666666666667
2016,"Kvyat","Toro Rosso",17,0,0,4,13.6875,16.4705882352941,5,0.705882352941176,2.54166666666667
2016,"Magnussen","Renault",21,0,0,7,17.1428571428571,16.047619047619,5,0.761904761904762,2.6
2016,"Massa","Williams",21,0,0,53,10.35,12.0952380952381,4,0.80952380952381,4.54117647058824
2016,"Nasr","Sauber",21,0,0,2,18.6,17.0952380952381,4,0.80952380952381,2.02352941176471
2016,"Ocon","Manor Marussia",9,0,0,0,20.4444444444444,17,0,1,1.7625
2016,"Palmer","Renault",21,0,0,1,17.2380952380952,17.2857142857143,6,0.714285714285714,2.17142857142857
2016,"Pérez","Force India",21,0,2,101,9.76190476190476,8.57142857142857,1,0.952380952380952,5.67619047619048
2016,"Räikkönen","Ferrari",21,0,4,186,5.33333333333333,8.57142857142857,4,0.80952380952381,9.39411764705882
2016,"Ricciardo","Red Bull",21,1,8,256,3.9047619047619,4.38095238095238,0,1,9.91428571428571
2016,"Rosberg","Mercedes",21,9,16,385,1.80952380952381,3.33333333333333,1,0.952380952380952,13.97
2016,"Sainz","Toro Rosso",21,0,0,46,12.047619047619,13.1428571428571,4,0.80952380952381,4.19411764705882
2016,"Vandoorne","McLaren",1,0,0,1,12,10,0,1,3.5
2016,"Verstappen","Red Bull",17,1,7,191,4.5625,6.70588235294118,2,0.882352941176471,10.3066666666667
2016,"Verstappen","Toro Rosso",4,0,0,13,8.25,12.25,1,0.75,5.36666666666667
2016,"Vettel","Ferrari",21,0,7,212,6.04761904761905,8.04761904761905,4,0.80952380952381,10.4941176470588
2016,"Wehrlein","Manor Marussia",21,0,0,1,18.1904761904762,18.1904761904762,5,0.761904761904762,1.81875
